name,school_affiliation,keywords
Mathias Kolle,mechanical-engineering,"Design and Clinical Evaluation of a Digital Transtibial Prosthetic Interface; In vivo imaging and morphogenesis of butterfly scale development; In vivo visualization of butterfly scale cell morphogenesis in Vanessa cardui; Actuation of Janus Emulsion Droplets via Optothermally Induced Marangoni Forces; Modular Assembly of Mechanoresponsive Color‐Changing Materials from Hydrogel‐Based Photonic Crystal Microspheres; Geometry, topology and mechanics of twisted elastic fibers; Tri-phase emulsions as tunable liquid lenses with aberration correction; Biologically-inspired Structural Color: Material Design and Fabrication Strategies Drawn from Nature’s Color Palette; Dynamic Coloration of Complex Emulsions by Localization of Gold Rings Near the Triphase Junction; A Single‐Step Hot Embossing Process for Integration of Microlens Arrays in Biodegradable Substrates for Improved Light Extraction of Light‐Emitting Devices; Microstructural design for mechanical–optical multifunctionality in the exoskeleton of the flower beetle Torynorrhina flammea; Deciphering how the viscoelastic properties of mussel-inspired metal-coordinate hydrogels dictate their adhesive and interfacial mechanics; The control of complex double emulsions through reactive interfaces; Effect of ball impact location and temperature on softball bat handle vibration; Light manipulation with photonic fibers and optical light guides : dynamic structural color and light distribution in microalgae cultures; Dynamic and stimuli-responsive multi-phase emulsion droplets for optical components; Soft Photonic Fibers for Colorimetric Solvent Vapor Sensing; In‐Plane Direct‐Write Assembly of Iridescent Colloidal Crystals; Biological growth and synthetic fabrication of structurally colored materials; Rapid Detection of Salmonella enterica via Directional Emission from Carbohydrate-Functionalized Dynamic Double Emulsions"
Stefanie Mueller,mechanical-engineering,
Ellen Roche,mechanical-engineering,"Engineering Three Dimensional In Vitro Approaches to Study Cardiac Injury and Repair; Magnetic Soft Continuum Robots for Telerobotic Stroke Intervention; Device-Enabled Biomechanical Modulation of the
Infarcted Heart; No Pressure!: Designing Mobile Interventions to Improve Pressure Relief Adherence for Individuals with Spinal Cord Injury through Diary Studies; A multimodal approach to investigate the effects of respiration
on Fontan flow to inform strategies for circulatory support; Development of a high-fidelity biorobotic cardiovascular in vitro simulator; A Multi-Domain Simulation Study of a Pulsatile-Flow Pump Device for Heart Failure With Preserved Ejection Fraction; Decellularization Following Fixation of Explanted Aortic Valves as a Strategy for Preserving Native Mechanical Properties and Function; Computational Modeling of a Low‐Cost Fluidic Oscillator for Use in an Educational Respiratory Simulator; User Based Design of Medical Devices for Translation from Prototype to Clinical Device; Generalizable Modelling of Vacuum-Powered Soft Actuators And Its Use in Design for Mechanical Assistive Applications; Wet Adhesion and Bioadhesive Technology; Predictive Modeling and Optimization of Autoinjector Manufacturing; Early-Stage Research and Design of a Diagnostic Sensor for Peripheral Vascular Disease; The Exploration of KNN-based Neural Control of Pneumatically Actuated Artificial Muscle; Computational Modelling and Treatment Optimization of Acute Endovascular and Respiratory Conditions; Design and Manufacturing of a Novel Intraoral Prosthesis for Obstructive Sleep Apnea; Development and Analysis of a Minimally Invasive Post-Infarction Epicardial Patch Delivery Device; Applications of Machine Learning and First-Principle Modeling to Evaluate Design Enhancements in Autoinjectors; Testbed Implementation for the Development of a New Technology to Treat Obstructive Sleep Apnea"
Alberto Rodriguez,mechanical-engineering,"A Long Horizon Planning Framework for Manipulating Rigid Pointcloud Objects; Effector Shape and Motion Optimization; Magnetic Soft Continuum Robots for Telerobotic Stroke Intervention; Learning to Make Decisions in Robotic Manipulation; Extrinsic Contact Sensing with Relative-Motion Tracking from Distributed Tactile Measurements; Deformable Object Manipulation with a Tactile Reactive Gripper; Differentiable Simulation Methods for Robotic Agent Design; Learning and investigating phenomenological models for active matter; Cognitive Human Activity and Plan Recognition for Human-Robot Collaboration; Safe Tumbling of Heavy Objects Using a Two-Cable Crane; Soft Aerial Manipulation; High-resolution tactile sensing for reactive robotic manipulation; Cable manipulation with a tactile-reactive gripper; Certified grasping; The unstable queen: Uncertainty, mechanics, and tactile feedback; Planning for Multi-stage Forceful Manipulation; On the use of simulation in robotics: Opportunities, challenges, and suggestions for moving forward; Cable Manipulation with a Tactile-Reactive Gripper; Accurate Vision-based Manipulation through Contact Reasoning; Planar in-hand manipulation via motion cones"
Amos Winter,mechanical-engineering,
Faez Ahmed,mechanical-engineering,
Navid Azizan,mechanical-engineering,
Kaitlyn P. Becker,mechanical-engineering,Reliability of torque and temperature feedback for an autonomous glass monitoring system
Sili Deng,mechanical-engineering,Acid‐in‐Clay Electrolyte for Wide‐Temperature‐Range and Long‐Cycle Proton Batteries; Scalable Synthesis of Solid-State Electrolytes Using Flame-Assisted Spray Pyrolysis; Point of Use Semi-Batch Reverse Osmosis Desalination Prototype Experimental Validation; Stiff neural ordinary differential equations; Stiff-PINN: Physics-Informed Neural Network for Stiff Chemical Kinetics; Autonomous Discovery of Unknown Reaction Pathways from Data by Chemical Reaction Neural Network; Performance effects and causal mechanisms of mid-channel congestion in diesel particulate filters; Impacts of lubricating oil and its formulations on diesel engine particle characteristics; Raw biomass electroreforming coupled to green hydrogen generation; Machine learning model to project the impact of COVID-19 on US motor gasoline demand; Harnessing thermoacoustics for waste heat recovery; Synergistically Chemical and Thermal Coupling between Graphene Oxide and Graphene Fluoride for Enhancing Aluminum Combustion; Dependence of kinetic sensitivity direction in premixed flames
Ashwin Gopinath,mechanical-engineering,"Nanoscale Engineering for Mixed-Dimensional Heterostructure Growth and Integration; Control of Radiative Heat and Momentum Transfer by Nanophotonic Engineering; Implosion Fabrication: Rethinking 3D Nanofabrication from First Principles; Bench-Top Fabrication of Single-Molecule Nanoarrays by DNA Origami Placement; High Throughput, Multiplex Quantification via Nucleic Acid Chemical Reaction Network Perturbation; Rational Fabrication of High-Performance and Scalable Opal Crystals for Thermo-Fluidic Applications; Rational Fabrication of Nano-to-Microsphere Polycrystalline Opals Using Slope Self-Assembly"
Carlos Portela,mechanical-engineering,
Ritu Raman,mechanical-engineering,
Vivishek Sudhir,mechanical-engineering,
Giovanni Traverso,mechanical-engineering,"Mucus interaction to improve gastrointestinal retention and pharmacokinetics of orally administered nano-drug delivery systems; Bioresorbable Osmotic Pump for Long–term Contraception; Development of a high-fidelity biorobotic cardiovascular in vitro simulator; Respirators in Healthcare: Material, Design, Regulatory, Environmental, and Economic Considerations for Clinical Efficacy; Development of Precision, Field-Deployable, Opto-Mechanical Instrumentation: Accessibility as a Functional Requirement; Hydrogel Machines - Design, Manufacturing, and Applications; Nonreciprocal and Exotic Radiative Transfer in Type-I Magnetic Weyl Semimetals; Oral delivery of systemic monoclonal antibodies, peptides and small molecules using gastric auto-injectors; Thinking Green: Respirator Reuse Strategies to Reduce Cost and Waste; Design of Motor Controller for Intragastric Applications; Assessment of the Acceptability and Feasibility of Using Mobile Robotic Systems for Patient Evaluation; Oral Biologic Delivery: Advances Toward Oral Subunit, DNA, and mRNA Vaccines and the Potential for Mass Vaccination During Pandemics; Kirigami-inspired stents for sustained local delivery of therapeutics; A microneedle platform for buccal macromolecule delivery; Personalized Radiation Attenuating Materials for Gastrointestinal Mucosal Protection; Multi-MHz MEMS-VCSEL swept-source optical coherence tomography for endoscopic structural and angiographic imaging with miniaturized brushless motor probes; Closed-Loop Region of Interest Enabling High Spatial and Temporal Resolutions in Object Detection and Tracking via Wireless Camera; Dynamic Monitoring of Systemic Biomarkers with Gastric Sensors; Identification of bile acid and fatty acid species as candidate rapidly bactericidal agents for topical treatment of gonorrhoea; Devices for drug delivery in the gastrointestinal tract: A review of systems physically interacting with the mucosa for enhanced delivery"
